individual,biomass_aboveground_g,biomass_belowground_g,date_oven,use_yn
1,0.0838,6.0507,9/25/2025,y
2,0.042,1.2949,9/25/2025,y
3,0.0344,3.4748,9/25/2025,y
4,0.0845,3.45,10/24/2025,y
5,0.0835,5.9836,9/26/2025,y
6,0.0655,1.8189,9/25/2025,y
7,0.0624,2.5173,9/26/2025,y
8,0.0557,3.97,10/26/2025,y
9,0.0751,4.5815,9/25/2025,y
10,0.0284,2.3818,9/25/2025,y
11,0.0247,9.41,10/24/2025,y
12,0.225,10.43,10/26/2025,y
13,0.0753,6.6366,9/25/2025,y
14,0.0544,3.983,9/25/2025,y
15,0.0913,4.2481,9/25/2025,y
16,0.0995,5.2859,9/26/2025,y
17,0.0638,6.1093,9/25/2025,y
18,0.0212,1.31,10/23/2025,y
19,0.1095,11.66,10/24/2025,y
20,0.0682,6.1055,9/25/2025,y
21,0.1152,6.944,9/25/2025,y
22,0.0619,5.7,10/24/2025,y
23,0.108,3.4895,9/25/2025,y
24,0.0697,,9/25/2025,y
25,0.1414,11.14,9/25/2025,y
26,0.0336,2.2529,10/24/2025,y
27,0.0523,7.9113,9/25/2025,y
28,0.0613,2.55,10/27/2025,y
29,0.0297,8.9518,9/25/2025,y
30,0.0567,3.4083,9/25/2025,y
31,0.1,3.1719,9/25/2025,y
32,0.0572,4.3662,9/25/2025,y
33,0.0242,0.45,10/27/2025,y
34,0.0159,0.2462,9/25/2025,y
35,0.0271,2.214,9/26/2025,y
36,0.0517,0.1651,9/25/2025,y
37,0.0621,1.4423,9/26/2025,y
38,0.0386,,9/26/2025,y
39,0.0122,0.0383,9/25/2025,y
40,0.0249,0.2375,9/25/2025,y
41,0.0548,0.2181,9/26/2025,y
42,0.0134,0.0264,9/25/2025,y
43,0.0622,2.5953,9/25/2025,y
44,0.0334,0.2254,9/25/2025,y
45,0.0604,1.52,10/24/2025,y
46,0.036,0.9359,9/25/2025,y
47,0.0415,0.433,9/29/2025,y
48,0.04,0.3594,9/26/2025,y
49,0.0216,0.1864,9/24/2025,y
50,0.0195,0.3363,9/25/2025,y
51,0.0297,2.53,10/27/2025,y
52,0.0343,0.0839,9/25/2025,y
53,0.1121,1.5102,12/25/2025,y
54,0.0366,0.9252,9/25/2025,y
55,,0.0152,11/1/2025,y
56,0.018,0.3617,9/25/2025,y
57,0.0543,0.3012,9/25/2025,y
58,0.0141,0.0345,9/25/2025,y
59,0.0591,1.8754,9/25/2025,y
60,0.0221,0.0309,9/25/2025,y
61,0.066,1.8836,9/25/2025,y
62,0.0184,0.4367,9/25/2025,y
63,0.0107,0.0252,10/24/2025,y
64,0.029,0.2135,9/25/2025,y
65,0.0878,7.96,10/26/2025,y
66,0.0251,0.8017,10/2/2025,y
67,0.0522,4.2,10/26/2025,y
68,0.0793,4.974,10/24/2025,y
69,0.1164,5.3242,10/24/2025,y
70,0.0309,2.69,10/26/2024,y
71,0.0656,4.1299,10/2/2025,y
72,0.0626,3.4021,10/1/2025,y
73,0.1406,13.717,10/2/2025,y
74,0.0253,2.3366,10/2/2025,y
75,0.0371,9.48,10/26/2025,y
76,0.0577,5.3583,10/2/2025,y
77,0.0801,6.3939,10/2/2025,y
78,0.0416,3.0128,10/2/2025,y
79,0.0698,1.5838,10/2/2025,y
80,0.0749,4.7425,10/2/2025,y
81,0.0684,6.0322,10/1/2025,y
82,0.0222,3.47,10/23/2025,y
83,0.0449,6.5015,10/2/2025,y
84,0.1152,6.6017,10/2/2025,y
85,0.0799,6.8447,10/2/2025,y
86,0.0597,3.7862,10/1/2025,y
87,0.0463,0.6753,10/24/2025,y
88,0.0899,3.54,10/26/2025,y
89,0.1306,8.2048,10/2/2025,y
90,0.028,1.7301,10/1/2025,y
91,0.0378,7.8874,10/2/2025,y
92,0.0674,10.13,10/26/2025,y
93,0.1148,5.2277,10/2/2025,y
94,0.0435,4.2157,10/1/2025,y
95,0.059,3.0045,10/2/2025,y
96,0.0685,3.5161,10/1/2025,y
97,0.0225,0.6926,10/2/2025,y
98,0.0261,0.0437,10/2/2025,y
99,,2.4429,10/28/2025,y
100,,0.1452,11/1/2025,y
101,,3.1283,10/28/2025,y
102,,0.6774,10/27/2025,y
103,0.0168,0.0255,10/2/2025,y
104,,0.3236,11/1/2025,y
105,,0.1766,10/27/2025,y
106,0.0205,0.0651,10/1/2025,y
107,0.0645,2.0232,10/2/2025,y
108,0.0791,0.9907,10/2/2025,y
109,0.0897,1.86,10/27/2025,y
110,,1.0396,10/27/2025,y
111,,0.3965,11/1/2025,y
112,0.0344,0.41,10/27/2025,y
113,0.0764,0.583,10/2/2025,y
114,0.0229,0.0843,10/1/2025,y
115,0.0685,7.794,11/1/2025,y
116,0.0328,0.1604,10/2/2025,y
117,0.0542,1.1785,10/2/2025,y
118,,1.4172,10/27/2025,y
119,0.0437,0.1488,10/2/2025,y
120,0.44,0.13,10/27/2025,y
121,,0.4212,10/31/2025,y
122,0.0236,0.1435,10/2/2025,y
123,0.0659,4.6632,10/2/2025,y
124,,0.3677,11/1/2025,y
125,0.0667,1.4272,10/2/2025,y
126,0.043,0.8548,10/2/2025,y
127,,0.2216,10/31/2025,y
128,,0.3384,10/31/2025,y
129,0.1018,3.49,10/26/2025,y
130,0.025,1.47,10/26/2025,y
131,0.0355,3.07,10/26/2025,y
132,0.0481,2.97,10/26/2025,y
133,0.0966,4.7899,9/28/2025,y
134,0.0462,1.93,10/26/2025,y
135,0.0873,5.46,10/26/2025,y
136,0.0778,2.2196,9/26/2025,y
137,0.1203,6.9008,9/28/2025,y
138,0.0348,2.2,10/26/2025,y
139,0.1023,8.44,10/26/2025,y
140,0.0629,3.1204,9/28/2025,y
141,0.0878,4.5524,9/28/2025,y
142,0.066,6.1,10/26/2025,y
144,0.0486,2.67,10/26/2025,y
145,0.0775,16.2,10/26/2025,y
146,0.0245,0.5873,9/28/2025,y
147,0.0528,9.02,10/26/2025,y
148,0.0769,5.4296,9/28/2025,y
149,0.0908,12.52,10/26/2025,y
150,0.0567,3.98,10/26/2025,y
151,0.1015,3.38,10/26/2025,y
152,,5.99,10/26/2025,y
153,0.1621,3.1655,9/26/2025,y
154,0.0273,1.34,10/26/2025,y
155,0.0442,9.78,10/26/2025,y
156,0.0674,5.1199,9/29/2025,y
157,0.1101,5.1255,9/28/2025,y
158,,4.78,10/24/2025,y
159,0.0625,3.9406,9/28/2025,y
160,,2.63,10/26/2025,y
161,0.0349,0.2338,9/28/2025,y
162,0.0213,0.0898,9/28/2025,y
163,0.0412,1.385,9/28/2025,y
164,0.0275,0.24,10/26/2025,y
165,0.0839,3.21,10/26/2025,y
166,0.0257,0.18,10/27/2025,y
167,0.0236,0.2152,9/29/2025,y
168,0.021,0.3693,9/29/2025,y
169,0.0965,0.2826,9/28/2025,y
170,,0.0303,10/27/2025,y
171,0.0645,4.0149,9/26/2025,y
172,0.0252,0.2737,9/28/2025,y
173,0.0625,1.6073,9/29/2025,y
174,0.0311,0.4933,9/29/2025,y
175,0.0125,0.0569,9/28/2025,y
176,0.0261,0.2355,9/28/2025,y
177,0.035,0.2224,9/26/2025,y
178,0.0193,0.0983,9/26/2025,y
179,0.0643,1.27,10/27/2025,y
180,0.0439,0.12,10/27/2025,y
181,0.0653,1.0054,9/28/2025,y
182,0.0369,0.4017,9/28/2025,y
183,0.0401,0.1285,9/28/2025,y
184,0.0324,0.4242,9/28/2025,y
185,0.0192,0,10/24/2025,y
186,0.0137,0.0241,9/26/2025,y
187,0.0498,3.3147,9/29/2025,y
188,0.0418,0.08,10/27/2025,y
189,0.0818,1.2415,9/26/2025,y
190,0.0309,0.2741,9/28/2025,y
191,0.0263,0.1627,9/29/2025,y
192,0.0272,0.2068,9/28/2025,y
193,,3.6554,10/27/2025,y
194,0.0374,2.17,10/26/2025,y
195,0.0373,4.2421,9/22/2025,y
196,0.0542,2.6683,9/22/2025,y
197,0.0722,4.2591,9/23/2025,y
198,,1.93,10/26/2025,y
199,0.03,0.8247,10/24/2025,y
200,,3.12,10/26/2025,y
201,,6.45,10/26/2025,y
202,,2,10/27/2025,y
203,,9.1893,10/28/2025,y
204,,3.18,10/26/2025,y
205,0.1,6.2025,9/22/2025,y
206,,3.0255,10/28/2025,y
207,0.1,10.18,10/24/2025,y
208,,4.03,10/26/2025,y
209,0.117,12.2828,9/23/2025,y
210,0.0302,1.1723,9/23/2025,y
211,,8.53,10/24/2025,y
212,,6.5273,10/27/2025,y
213,,8.35,10/24/2025,y
214,,3.6278,10/28/2025,y
215,0.0687,2.9313,9/23/2025,y
216,0.0704,4.4736,9/22/2025,y
217,,2.9774,10/28/2025,y
218,0.0443,1.9473,9/23/2025,y
219,0.0538,,9/25/2025,y
220,0.0978,9.49,10/24/2025,y
221,,7.51,10/26/2025,y
222,0.0482,4.99,10/26/2025,y
223,,3.3591,10/28/2025,y
224,,1.8305,10/28/2025,y
225,0.0531,0.1804,9/22/2025,y
226,0.0194,0.025,10/27/2025,y
227,0.0581,1.5509,9/23/2025,y
228,0.021,0.45,10/26/2025,y
229,0.0409,2.9625,9/22/2025,y
230,0.0378,0.2416,9/23/2025,y
231,0.0355,0.3348,9/25/2025,y
232,,0.1454,11/2/2025,y
233,0.0645,0.4622,9/23/2025,y
234,0.0168,0.0317,9/22/2025,y
235,,2.7647,10/24/2025,y
236,0.0405,0.0141,9/22/2025,y
237,0.0246,1.066,9/22/2025,y
238,0.03,0.3501,9/25/2025,y
239,0.0257,0.1784,9/23/2025,y
240,0.0242,0.1991,9/23/2025,y
241,0.0128,0.1649,9/23/2025,y
242,0.0047,0.0217,9/22/2025,y
243,0.064,1.3988,9/25/2025,y
244,0.0159,0.2003,9/22/2025,y
245,0.0688,1.6765,9/23/2025,y
246,0.0353,,9/25/2025,y
247,,0.579,10/27/2025,y
248,,0.0407,10/29/2025,y
249,,7.74,10/26/2025,y
249,,0.1479,10/27/2025,y
250,,0.0762,10/26/2025,y
251,,2.4659,11/2/2025,y
252,0.0172,0.1625,9/23/2025,y
253,0.0682,0.6355,9/23/2025,y
254,,0.325,11/2/2025,y
255,,0.528,10/27/2025,y
256,,0.6227,10/29/2025,y
257,0.0821,4.69,10/27/2025,y
258,0.0458,0.83,10/23/2025,y
259,0.0833,4.59,10/26/2025,y
260,0.0856,5.12,10/26/2025,y
261,0.0479,8.93,10/26/2025,y
262,0.0396,1.2384,9/21/2025,y
263,0.0776,1.1245,9/22/2025,y
265,0.0669,17.23,10/26/2025,y
266,0.0405,1.6457,9/21/2025,y
267,,13.87,10/26/2025,y
268,0.0464,7.38,10/23/2025,y
269,0.13,5.589,9/21/2025,y
270,0.0358,6.6,10/26/2025,y
271,0.1,3.2173,9/21/2025,y
272,,5.01,10/23/2025,y
273,0.0227,0.11,10/27/2025,y
274,,2.96,10/23/2025,y
276,0.0699,7.26,10/23/2025,y
277,0.13,6.1314,9/20/2025,y
278,0.0564,3.8485,9/20/2025,y
279,0.1077,4.7142,9/21/2025,y
280,0.0444,6.26,10/23/2025,y
281,0.0974,19.0402,9/22/2025,y
282,0.0324,5.11,10/24/2025,y
283,0.0787,14.4844,9/20/2025,y
284,0.0753,8.4554,9/20/2025,y
285,0.0745,7.4406,9/20/2025,y
286,0.0299,2.9922,9/21/2025,y
287,0.09,4.2519,9/20/2025,y
288,0.0741,,9/20/2025,y
290,0.0082,0.0027,9/21/2025,y
291,0.0257,1.04,10/27/2025,y
292,0.0155,0.0177,9/21/2025,y
293,0.0348,0.139,9/22/2025,y
294,0.0215,0.3308,9/21/2025,y
295,0.0201,0.0345,9/21/2025,y
296,0.0314,0.0589,9/21/2025,y
297,0.0382,0.0052,10/22/2025,y
298,0.0237,,9/20/2025,y
299,0.0534,2.0161,9/21/2025,y
300,0.0106,0.0192,9/20/2025,y
301,,0.3659,10/28/2025,y
302,0.0264,0.2093,9/21/2025,y
303,0.0048,0.04,10/27/2025,y
304,0.0288,0.0729,9/21/2025,y
305,0.0212,0.12,9/21/2025,y
306,0.007,0.0007,10/27/2025,y
307,,0.8133,10/28/2025,y
308,0.018,0.0032,9/21/2025,y
309,0.052,0.5544,9/21/2025,y
309,2.1138,,10/22/2025,y
310,0.0183,0.1111,9/21/2025,y
311,0.0063,0.0031,9/21/2025,y
312,0.0217,0.23,10/27/2025,y
313,,0.0475,10/28/2025,y
314,0.0095,0.0011,10/27/2025,y
315,0.0345,0.5708,9/21/2025,y
316,0.0157,0.005,9/20/2025,y
317,0.0365,0.6,10/27/2025,y
318,0.0135,0.0588,9/20/2025,y
319,0.0122,0.03,10/27/2025,y
320,0.018,0.0677,9/21/2025,y
321,0.11954,5.7435,9/29/2025,y
322,0.0235,1.5397,10/1/2025,y
323,0.0176,3.866,9/29/2025,y
324,0.0945,2.7183,9/29/2025,y
325,0.0744,7.54,10/26/2025,y
326,0.0632,1.27,10/27/2025,y
327,0.0862,2.3029,9/29/2025,y
328,0.1146,4.311,9/29/2025,y
329,0.1816,9.2241,9/29/2025,y
330,0.0275,2.452,9/29/2025,y
331,0.102,14.82,10/27/2025,y
332,0.0932,8.7928,9/29/2025,y
333,0.0622,10.82,10/27/2025,y
334,0.049,5.5,10/27/2025,y
335,0.0822,2.9923,10/2/2025,y
336,0.0811,5.2186,9/29/2025,y
337,0.16,18.95,10/26/2025,y
338,0.0563,3.2392,9/29/2025,y
339,0.0722,7.9466,9/29/2025,y
340,0.0811,11.41,10/26/2025,y
341,0.0613,7.3087,10/1/2025,y
342,0.0607,3.8397,10/1/2025,y
343,0.128,4.98,10/26/2025,y
344,0.0664,3.9546,9/29/2025,y
345,0.0993,12.083,10/1/2025,y
346,0.0211,3.98,9/29/2025,y
347,0.0356,12.93,10/27/2025,y
348,0.1039,8.96,10/27/2025,y
349,0.1005,9.7809,9/29/2025,y
350,0.0544,4.6803,10/1/2025,y
351,0.149,3.103,9/29/2025,y
352,0.0541,5.9964,9/29/2025,y
353,,0.188,10/31/2025,y
354,,0.01,10/31/2025,y
355,0.073,1.64,10/27/2025,y
356,0.0308,,9/29/2025,y
357,0.0372,0.2609,9/29/2025,y
358,0.0288,0.2324,9/29/2025,y
359,0.0326,0.37,10/26/2025,y
360,,0.2119,10/31/2025,y
361,0.0311,0.04,10/27/2025,y
362,0.0117,,9/29/2025,y
363,0.0334,0.87,10/26/2025,y
364,,0.029,11/1/2025,y
365,0.066,0.99,10/24/2025,y
366,0.0313,0.23,10/26/2025,y
367,0.0236,0.0461,9/29/2025,y
368,0.016,0.0303,9/29/2025,y
369,0.0295,0.2112,9/29/2025,y
370,0.0116,0.02,10/26/2025,y
371,0.0444,0.9591,9/29/2025,y
372,,0.0087,10/27/2025,y
373,0.0642,0.59,10/27/2025,y
374,0.0255,0.1739,9/29/2025,y
376,0.0298,0.1221,10/1/2025,y
377,,0.0945,10/24/2025,y
378,,0.07,10/26/2025,y
379,0.0461,1.04,10/17/2025,y
380,,0.0024,10/31/2024,y
381,0.0426,0.36,10/27/2025,y
382,0.0331,0.2,10/27/2025,y
383,0.0267,0.16,10/27/2025,y
384,0.0369,0.26,10/27/2025,y
